Word1	Word2	POS	Sim	Sim1	Sim2	Cosin	Pearsonr	Spearmanr	STD
biến	ngập	V	0.52	3.13	5.22	0.5	[-0.01, 0.94]	[-0.02, 0.8]	0.72
nhà_thi_đấu	nhà	N	0.51	3.07	5.12	0.54	[0.08, 0.32]	[0.11, 0.2]	1.18
động	tĩnh	V	0.1	0.6	1.0	0.64	[0.28, 0.0]	[0.27, 0.0]	0.95
khuyết	ưu	N	0.03	0.2	0.33	0.59	[0.16, 0.05]	[0.15, 0.06]	0.4
cõi_tục	cõi_âm	N	0.1	0.6	1.0	NaN	NaN	NaN	0.95
thủ_pháp	biện_pháp	N	0.69	4.13	6.88	0.7	[0.4, 0.0]	[0.39, 0.0]	1.26
kết_duyên	thành_hôn	V	0.88	5.27	8.78	0.73	[0.46, 0.0]	[0.44, 0.0]	1.06
cấp_tiến	bảo_thủ	A	0.14	0.87	1.45	0.63	[0.26, 0.0]	[0.27, 0.0]	1.15
nước_lớn	nguy_hiểm	N	0.18	1.07	1.78	0.59	[0.19, 0.02]	[0.21, 0.01]	1.12
hoa	nhị	N	0.38	2.27	3.78	0.61	[0.22, 0.01]	[0.24, 0.0]	0.93
bất_lợi	thuận_lợi	N	0.06	0.33	0.55	0.77	[0.54, 0.0]	[0.43, 0.0]	0.79
phân_ly	sum_họp	V	0.08	0.47	0.78	0.54	[0.08, 0.33]	[0.09, 0.3]	1.09
nói_lắp	nói_móc	V	0.59	3.53	5.88	NaN	NaN	NaN	0.81
vây_ép	phong_toả	V	0.57	3.4	5.67	NaN	NaN	NaN	0.95
diễu_hành	tuần_hành	V	0.76	4.53	7.55	0.82	[0.64, 0.0]	[0.58, 0.0]	1.15
cao_trào	thoái_trào	N	0.09	0.53	0.88	0.68	[0.36, 0.0]	[0.35, 0.0]	0.88
thịnh	suy	V	0.11	0.67	1.12	0.53	[0.06, 0.45]	[0.08, 0.34]	1.14
con_voi	ngà	N	0.27	1.6	2.67	0.62	[0.24, 0.0]	[0.23, 0.01]	1.08
cá_chuối	cá_quả	N	0.69	4.13	6.88	0.58	[0.17, 0.04]	[0.15, 0.06]	1.31
đổ_bê_tông	biếu_xén	V	0.06	0.33	0.55	0.41	[-0.17, 0.03]	[-0.14, 0.09]	0.6
con_đẻ	con_ruột	N	0.89	5.33	8.88	0.82	[0.65, 0.0]	[0.65, 0.0]	1.07
uỷ_nhiệm	phân_công	V	0.72	4.33	7.22	0.64	[0.28, 0.0]	[0.29, 0.0]	1.4
bay_lượn	chuyển_động	V	0.66	3.93	6.55	0.69	[0.39, 0.0]	[0.34, 0.0]	1.18
khêu_gợi	khơi_gợi	V	0.77	4.6	7.67	0.63	[0.26, 0.0]	[0.22, 0.01]	0.8
thăng_bằng	cân_bằng	V	0.59	3.53	5.88	0.74	[0.48, 0.0]	[0.5, 0.0]	1.2
chọn_lựa	tuyển_chọn	N	0.72	4.33	7.22	0.74	[0.47, 0.0]	[0.45, 0.0]	1.19
có_ích	hữu_ích	A	0.94	5.67	9.45	0.83	[0.66, 0.0]	[0.67, 0.0]	0.7
cứng_rắn	nhỏ_nhắn	A	0.08	0.47	0.78	0.61	[0.23, 0.01]	[0.17, 0.03]	0.96
bội_nghĩa	biết_ơn	V	0.07	0.4	0.67	NaN	NaN	NaN	0.8
lỗ_đen	hố_đen	N	0.56	3.33	5.55	0.87	[0.73, 0.0]	[0.74, 0.0]	1.14
vùi	đóng	V	0.24	1.47	2.45	0.49	[-0.02, 0.85]	[0.02, 0.84]	1.41
tính_tình	tính_khí	N	0.57	3.4	5.67	0.84	[0.69, 0.0]	[0.66, 0.0]	0.8
mục_sư	giáo_sĩ	N	0.67	4.0	6.67	0.8	[0.6, 0.0]	[0.56, 0.0]	0.97
cộng_đồng	dân_tộc	N	0.59	3.53	5.88	0.69	[0.38, 0.0]	[0.4, 0.0]	1.02
rớ	sờ	V	0.87	5.2	8.67	0.69	[0.39, 0.0]	[0.39, 0.0]	0.75
trả_đũa	đền_đáp	N	0.52	3.13	5.22	0.62	[0.24, 0.0]	[0.25, 0.0]	1.09
tay_cầm	phân_đạm	N	0.08	0.47	0.78	0.48	[-0.03, 0.72]	[-0.03, 0.73]	1.02
liên_hệ	nguỵ_trang	V	0.01	0.07	0.12	0.55	[0.09, 0.27]	[0.1, 0.22]	0.25
mới_tinh	mới_toanh	A	0.96	5.73	9.55	0.74	[0.48, 0.0]	[0.47, 0.0]	0.77
cột_trụ	bệ	N	0.35	2.13	3.55	0.72	[0.44, 0.0]	[0.37, 0.0]	0.81
họp_mặt	tiệc	N	0.66	3.93	6.55	0.71	[0.43, 0.0]	[0.36, 0.0]	0.85
lộn_xộn	gọn_gàng	A	0.07	0.4	0.67	0.67	[0.34, 0.0]	[0.33, 0.0]	0.61
chủ_động	thụ_động	V	0.09	0.53	0.88	0.74	[0.48, 0.0]	[0.48, 0.0]	0.88
vali	tay_cầm	N	0.24	1.47	2.45	0.58	[0.17, 0.04]	[0.19, 0.02]	0.88
đơn_tiết	đơn_âm	A	0.8	4.8	8.0	NaN	NaN	NaN	0.83
ghen_tị	ghen_ghét	V	0.77	4.6	7.67	0.68	[0.35, 0.0]	[0.32, 0.0]	1.14
ngả_nghiêng	sờn_lòng	V	0.5	3.0	5.0	NaN	NaN	NaN	1.1
ngôn_ngữ_học	khoa_học	N	0.61	3.67	6.12	0.77	[0.54, 0.0]	[0.48, 0.0]	1.4
vẹo	vẹo_vọ	A	0.82	4.93	8.22	NaN	NaN	NaN	0.93
thu_gom	tiếp_sức	V	0.12	0.73	1.22	0.59	[0.17, 0.04]	[0.21, 0.01]	0.77
quy_trình	sáng_tác	N	0.53	3.2	5.33	0.45	[-0.1, 0.24]	[-0.09, 0.26]	0.83
thành_thị	thị_thành	N	0.99	5.93	9.88	0.7	[0.41, 0.0]	[0.42, 0.0]	0.25
nhảy_nhót	nhích	V	0.6	3.6	6.0	0.59	[0.19, 0.02]	[0.18, 0.03]	1.14
ly_tâm	hướng_tâm	V	0.12	0.73	1.22	0.55	[0.11, 0.2]	[0.12, 0.14]	0.85
cống	đường_ống	N	0.73	4.4	7.33	0.83	[0.66, 0.0]	[0.67, 0.0]	1.08
