,Word1,Word2,Pos,"Sim1 [0,6]","Sim2 [0,10]","Sim3 [0, 1]","Sim Computed [0, 1]",STD
0,biến,ngập,V,3.13,5.22,0.522,0.497543830265165,0.72
1,nhà_thi_đấu,nhà,N,3.07,5.12,0.512,0.5412615916460588,1.18
2,động,tĩnh,V,0.6,1.0,0.1,0.6385429799341388,0.95
3,khuyết,ưu,N,0.2,0.33,0.033,0.5883993141781336,0.4
4,thủ_pháp,biện_pháp,N,4.13,6.88,0.688,0.7011830645971531,1.26
5,kết_duyên,thành_hôn,V,5.27,8.78,0.8779999999999999,0.7315042010070361,1.06
6,cấp_tiến,bảo_thủ,A,0.87,1.45,0.145,0.6284735044498062,1.15
7,nước_lớn,nguy_hiểm,N,1.07,1.78,0.178,0.5925960112010581,1.12
8,hoa,nhị,N,2.27,3.78,0.378,0.6115348022627427,0.93
9,bất_lợi,thuận_lợi,N,0.33,0.55,0.05500000000000001,0.7674456514981696,0.79
10,phân_ly,sum_họp,V,0.47,0.78,0.078,0.5388505446519811,1.09
11,diễu_hành,tuần_hành,V,4.53,7.55,0.755,0.8219417700919267,1.15
12,cao_trào,thoái_trào,N,0.53,0.88,0.088,0.6805162763864085,0.88
13,thịnh,suy,V,0.67,1.12,0.11200000000000002,0.5298011854246096,1.14
14,con_voi,ngà,N,1.6,2.67,0.267,0.6194775176849935,1.08
15,cá_chuối,cá_quả,N,4.13,6.88,0.688,0.5832370695737137,1.31
16,đổ_bê_tông,biếu_xén,V,0.33,0.55,0.05500000000000001,0.41357996395190266,0.6
17,con_đẻ,con_ruột,N,5.33,8.88,0.8880000000000001,0.8208944017358941,1.07
18,uỷ_nhiệm,phân_công,V,4.33,7.22,0.722,0.6437676389552878,1.4
19,bay_lượn,chuyển_động,V,3.93,6.55,0.655,0.6940985847220473,1.18
20,khêu_gợi,khơi_gợi,V,4.6,7.67,0.767,0.6279823643980049,0.8
21,thăng_bằng,cân_bằng,V,3.53,5.88,0.588,0.7402159711927809,1.2
22,chọn_lựa,tuyển_chọn,N,4.33,7.22,0.722,0.7362131494371043,1.19
23,có_ích,hữu_ích,A,5.67,9.45,0.945,0.831204692617032,0.7
24,cứng_rắn,nhỏ_nhắn,A,0.47,0.78,0.078,0.61261657499084,0.96
25,lỗ_đen,hố_đen,N,3.33,5.55,0.5549999999999999,0.8670341671180348,1.14
26,vùi,đóng,V,1.47,2.45,0.24500000000000002,0.49319522774025804,1.41
27,tính_tình,tính_khí,N,3.4,5.67,0.567,0.8439127210129063,0.8
28,mục_sư,giáo_sĩ,N,4.0,6.67,0.667,0.7982022218167744,0.97
29,cộng_đồng,dân_tộc,N,3.53,5.88,0.588,0.6877220711062354,1.02
30,rớ,sờ,V,5.2,8.67,0.867,0.6928067911025224,0.75
31,trả_đũa,đền_đáp,N,3.13,5.22,0.522,0.6165282320855275,1.09
32,tay_cầm,phân_đạm,N,0.47,0.78,0.078,0.48487143158068235,1.02
33,liên_hệ,nguỵ_trang,V,0.07,0.12,0.012,0.5461990752666104,0.25
34,mới_tinh,mới_toanh,A,5.73,9.55,0.9550000000000001,0.7406450974879364,0.77
35,cột_trụ,bệ,N,2.13,3.55,0.355,0.7215144241298665,0.81
